Long Station Name,Collection Date,EC,Alkalinity,Sacramento X2,WYT,Location,Area
Contra Costa PP Number 01,12/7/1999,1390,153,84.3486242,W,OMR,Interior
Contra Costa PP Number 01,3/3/1998,1100,141,46.174655,W,OMR,Interior
Contra Costa PP Number 01,2/3/2003,1070,138,54.06515388,AN,OMR,Interior
Contra Costa PP Number 01,3/7/2000,1125,129,48.16682697,AN,OMR,Interior
Contra Costa PP Number 01,12/4/2007,1212,126,87.28423839,D,OMR,Interior
Contra Costa PP Number 01,10/7/1999,892,121,85.55971154,W,OMR,Interior
Contra Costa PP Number 01,3/7/1996,898,119,46.46251523,W,OMR,Interior
Contra Costa PP Number 01,3/7/2005,654,117,57.47547175,AN,OMR,Interior
Contra Costa PP Number 01,1/7/2003,1010,113,51.99960319,AN,OMR,Interior
Contra Costa PP Number 01,4/1/2003,663,110,69.81194277,AN,OMR,Interior
Contra Costa PP Number 01,3/6/2001,753,110,70.05240742,D,OMR,Interior
Contra Costa PP Number 01,2/5/1998,879,110,41.15155574,W,OMR,Interior
Contra Costa PP Number 01,10/8/2002,1120,109,89.3846487,D,OMR,Interior
Clifton Court Intake,12/10/1992,875,107,95.44056579,C,OMR,Interior
Contra Costa PP Number 01,3/3/2003,591,104,60.574921,AN,OMR,Interior
Clifton Court Intake,4/24/1991,792,104,86.48122671,C,OMR,Interior
Clifton Court Intake,3/9/1993,730,102,59.04059358,AN,OMR,Interior
Contra Costa PP Number 01,12/10/1997,1080,102,71.95083355,W,OMR,Interior
Contra Costa PP Number 01,12/3/2002,850,98,93.0185482,D,OMR,Interior
Contra Costa PP Number 01,1/4/2000,1186,98,80.55744457,AN,OMR,Interior
Contra Costa PP Number 01,4/4/2005,499,96,55.79737907,AN,OMR,Interior
Contra Costa PP Number 01,3/11/1993,801,96,59.02850507,AN,OMR,Interior
Contra Costa PP Number 01,1/6/1998,920,95,80.42409534,W,OMR,Interior
Contra Costa PP Number 01,3/2/2004,500,94,49.65011755,BN,OMR,Interior
Contra Costa PP Number 01,11/5/2002,874,94,91.73476989,D,OMR,Interior
Contra Costa PP Number 01,11/6/2001,898,93,92.77803114,AN,OMR,Interior
Contra Costa PP Number 01,4/8/2008,465,92,78.37516679,C,OMR,Interior
Contra Costa PP Number 01,2/6/2001,943,92,82.30525912,D,OMR,Interior
Contra Costa PP Number 01,1/8/2001,1030,91,94.68792213,D,OMR,Interior
Middle River @ Union Point - P10A,5/4/2015,568,90,94.17154572,C,OMR,Interior
Contra Costa PP Number 01,12/2/2008,574,90,92.75840841,C,OMR,Interior
Contra Costa PP Number 01,12/6/2004,579,90,88.99645057,BN,OMR,Interior
Contra Costa PP Number 01,1/8/2002,616,90,54.28372948,D,OMR,Interior
Middle River @ Union Point - P10A,3/3/2014,725,90,80.57624471,C,OMR,Interior
Middle River @ Union Point - P10A,4/8/2008,492,89,78.37516679,C,OMR,Interior
Middle River @ Union Point - P10A,3/2/2009,583,89,65.57301543,D,OMR,Interior
Rock Slough @ Old River,5/22/1991,596,89,90.63835999,C,OMR,Interior
