Long Station Name,Collection Date,EC,Br,Sacramento X2,WYT,Location,Area
Middle River @ Union Point - P10A,5/3/2017,120,0.03,50.00669585,W,OMR,Interior
Little Connection Sl. @ Empire Tr.,7/8/1993,120,0.02,75.05380959,AN,SJRcorridor,Interior
Middle River @ Union Point - P10A,5/3/2017,120,0.03,50.00669585,W,SouthDelta,Interior
San Joaquin River @ Mossdale Bridge - C7A,5/18/1995,143,0.03,50.95156216,W,SJRcorridor,Interior
Little Connection Sl. @ Empire Tr.,4/21/1993,145,0.02,62.38347365,AN,SJRcorridor,Interior
Contra Costa PP Number 01,7/12/1995,146,0.04,65.49822638,W,OMR,Interior
Middle River at Bacon Island Bridge,8/10/1993,147,0.03,70.9026113,AN,OMR,Interior
Old River North of Rock Slough (St 4b),7/8/1993,148,0.03,75.05380959,AN,OMR,Interior
Contra Costa PP Number 01,8/9/1995,150,0.03,68.77947219,W,OMR,Interior
Contra Costa PP Number 01,7/6/2005,151,0.03,69.97360216,AN,OMR,Interior
Little Connection Sl. @ Empire Tr.,10/20/1993,151,0.03,84.89979461,C,SJRcorridor,Interior
Middle River @ Union Point - P10A,7/5/2006,154,0.05,67.43685291,W,OMR,Interior
Middle River @ Union Point - P10A,7/5/2006,154,0.05,67.43685291,W,SouthDelta,Interior
Rock Slough @ Old River,7/8/1993,156,0.04,75.05380959,AN,OMR,Interior
San Joaquin River at Prisoner's Point,7/7/2009,157.5,0.04,82.06398554,D,SJRcorridor,Interior
Contra Costa PP Number 01,7/22/1993,159,0.04,69.41514716,AN,OMR,Interior
Contra Costa PP Number 01,7/8/1993,159,0.03,75.05380959,AN,OMR,Interior
Little Connection Sl. @ Empire Tr.,7/26/1990,160,0.03,86.56430395,C,SJRcorridor,Interior
Little Connection Sl. @ Empire Tr.,10/23/1991,160,0.03,94.27657666,C,SJRcorridor,Interior
Middle River at Bacon Island Bridge,7/20/1993,161,0.04,75.81769133,AN,OMR,Interior
Contra Costa PP Number 01,9/2/1998,161,0.03,67.79734317,W,OMR,Interior
Contra Costa PP Number 01,7/5/2006,162,0.04,67.43685291,W,OMR,Interior
Little Connection Sl. @ Empire Tr.,9/1/1993,162,0.04,78.41118016,AN,SJRcorridor,Interior
Little Connection Sl. @ Empire Tr.,8/19/1992,163,0.03,92.0935494,C,SJRcorridor,Interior
Clifton Court Intake,7/20/1993,166,0.04,75.81769133,AN,OMR,Interior
Rock Slough at Delta Road Bridge,7/5/2011,169,0.03,56.36389323,W,OMR,Interior
Middle River at Bacon Island Bridge,9/1/1993,175,0.04,78.41118016,AN,OMR,Interior
Contra Costa PP Number 01,7/11/1996,175,0.03,75.57077698,W,OMR,Interior
San Joaquin River at Prisoner's Point,5/27/2009,176.6,0.05,78.39738548,D,SJRcorridor,Interior
Middle River @ Union Point - P10A,6/5/2017,177,0.06,57.96351261,W,OMR,Interior
Middle River @ Union Point - P10A,7/10/2017,177,0.06,70.04911852,W,OMR,Interior
