Long Station Name,Collection Date,EC,Ca,Sacramento X2,WYT,Location,Area
Contra Costa PP Number 01,3/3/1998,1100,45.2,46.174655,W,OMR,Interior
Contra Costa PP Number 01,12/7/1999,1390,42,84.3486242,W,OMR,Interior
Contra Costa PP Number 01,3/7/2000,1125,41,48.16682697,AN,OMR,Interior
Contra Costa PP Number 01,2/3/2003,1070,39,54.06515388,AN,OMR,Interior
Contra Costa PP Number 01,3/7/1996,898,39,46.46251523,W,OMR,Interior
Old River South of Rock Slough (St 5A),8/5/1986,723,39,80.38588581,W,OMR,Interior
Clifton Court Intake,12/10/1992,875,38,95.44056579,C,OMR,Interior
Clifton Court Intake,3/9/1993,730,38,59.04059358,AN,OMR,Interior
Contra Costa PP Number 01,3/11/1993,801,37,59.02850507,AN,OMR,Interior
Clifton Court Intake,4/24/1991,792,37,86.48122671,C,OMR,Interior
Contra Costa PP Number 01,11/9/1994,988,36,92.63852791,AN,OMR,Interior
Contra Costa PP Number 01,3/7/2005,654,32,57.47547175,AN,OMR,Interior
Contra Costa PP Number 01,2/5/1998,879,31.6,41.15155574,W,OMR,Interior
Contra Costa PP Number 01,12/4/2007,1212,31,87.28423839,D,OMR,Interior
Contra Costa PP Number 01,1/7/2003,1010,31,51.99960319,AN,OMR,Interior
Contra Costa PP Number 01,3/6/2001,753,31,70.05240742,D,OMR,Interior
Clifton Court Intake,5/19/1994,599,31,76.51544974,C,OMR,Interior
Middle River @ Union Point - P10A,3/3/2014,725,30,80.57624471,C,OMR,Interior
Contra Costa PP Number 01,10/8/2002,1120,29,89.3846487,D,OMR,Interior
Rock Slough @ Old River,11/28/1990,949,29,92.60675328,D,OMR,Interior
Middle River @ Union Point - P10A,3/2/2010,483,29,63.81753273,BN,OMR,Interior
Old River near Rock Slough,7/21/1959,1740,28,95.92495125,BN,OMR,Interior
Middle River at Bacon Island Bridge,10/30/1990,656,28,93.26510574,D,OMR,Interior
Middle River at Bacon Island Bridge,2/16/1993,524,28,58.91466321,AN,OMR,Interior
Middle River at Bacon Island Bridge,3/24/1994,516,28,72.52425966,C,OMR,Interior
Contra Costa PP Number 01,12/10/1997,1080,27.3,71.95083355,W,OMR,Interior
Old River near Rock Slough,8/18/1959,1000,27,93.54824528,BN,OMR,Interior
Contra Costa PP Number 01,10/7/1999,892,27,85.55971154,W,OMR,Interior
Contra Costa PP Number 01,2/24/1992,793,27,66.71267132,C,OMR,Interior
