Long Station Name,Collection Date,EC,Cl,Sacramento X2,WYT,Location,Area
Old River near Rock Slough,7/21/1959,1740,451,95.92495125,BN,OMR,Interior
Old River South of Rock Slough (St 5A),7/20/1977,1690,425,95.79344749,C,OMR,Interior
Old River South of Rock Slough (St 5A),12/20/1977,1640,383,89.23499497,C,OMR,Interior
Old River South of Rock Slough (St 5A),9/13/1977,1620,423,97.75189249,C,OMR,Interior
Old River near Rock Slough,8/4/1959,1580,389,91.1135463,BN,OMR,Interior
Old River South of Rock Slough (St 5A),6/30/1972,1570,396,92.10107177,BN,OMR,Interior
Old River South of Rock Slough (St 5A),7/12/1977,1540,386,94.29014398,C,OMR,Interior
Old River South of Rock Slough (St 5A),11/1/1977,1530,399,97.79821424,C,OMR,Interior
Old River South of Rock Slough (St 5A),9/20/1977,1510,381,94.30759826,C,OMR,Interior
Old River South of Rock Slough (St 5A),7/6/1972,1510,376,86.35065233,BN,OMR,Interior
Old River South of Rock Slough (St 5A),11/8/1977,1500,342,93.6482057,C,OMR,Interior
Old River South of Rock Slough (St 5A),10/4/1977,1490,386,95.16189775,C,OMR,Interior
Old River South of Rock Slough (St 5A),9/27/1977,1490,374,93.68297047,C,OMR,Interior
Old River South of Rock Slough (St 5A),7/26/1977,1490,370,94.6464473,C,OMR,Interior
Old River South of Rock Slough (St 5A),6/29/1972,1480,371,93.04418194,BN,OMR,Interior
Old River South of Rock Slough (St 5A),8/30/1977,1460,377,96.31383784,C,OMR,Interior
Old River South of Rock Slough (St 5A),9/6/1977,1460,372,95.3442764,C,OMR,Interior
Old River South of Rock Slough (St 5A),10/11/1977,1440,363,0,C,OMR,Interior
Old River South of Rock Slough (St 5A),12/27/1977,1440,332,86.39928373,C,OMR,Interior
Old River South of Rock Slough (St 5A),8/16/1977,1420,342,95.12016685,C,OMR,Interior
Old River South of Rock Slough (St 5A),11/14/1977,1420,325,97.01418075,C,OMR,Interior
Old River South of Rock Slough (St 5A),8/2/1977,1400,373,95.68394653,C,OMR,Interior
Old River South of Rock Slough (St 5A),6/28/1972,1400,346,93.50734356,BN,OMR,Interior
Old River South of Rock Slough (St 5A),10/18/1977,1390,511,0,C,OMR,Interior
Old River South of Rock Slough (St 5A),6/23/1977,1390,339,95.42512283,C,OMR,Interior
Contra Costa PP Number 01,12/7/1999,1390,211,84.3486242,W,OMR,Interior
Old River near Rock Slough,8/4/1959,1380,336,91.1135463,BN,OMR,Interior
Old River South of Rock Slough (St 5A),10/25/1977,1370,326,98.51353899,C,OMR,Interior
Old River South of Rock Slough (St 5A),7/7/1972,1360,330,86.57993383,BN,OMR,Interior
Old River South of Rock Slough (St 5A),8/9/1977,1350,361,94.66206153,C,OMR,Interior
Old River South of Rock Slough (St 5A),7/6/1972,1340,330,86.35065233,BN,OMR,Interior
Old River near Rock Slough,7/21/1959,1320,329,95.92495125,BN,OMR,Interior
