Long Station Name,Collection Date,EC,K,Sacramento X2,WYT,Location,Area
Contra Costa PP Number 01,8/5/1999,218,0.9,71.77110367,W,OMR,Interior
Contra Costa PP Number 01,8/9/1995,150,1,68.77947219,W,OMR,Interior
Middle River @ Union Point - P10A,8/2/2010,189,1,79.32890201,BN,OMR,Interior
Middle River @ Union Point - P10A,5/3/2017,120,1.1,50.00669585,W,OMR,Interior
Middle River at Bacon Island Bridge,8/10/1993,147,1.1,70.9026113,AN,OMR,Interior
Contra Costa PP Number 01,7/6/2005,151,1.1,69.97360216,AN,OMR,Interior
Middle River @ Union Point - P10A,7/5/2006,154,1.1,67.43685291,W,OMR,Interior
Contra Costa PP Number 01,7/22/1993,159,1.1,69.41514716,AN,OMR,Interior
Old River South of Rock Slough (St 5A),8/17/1982,184,1.1,76.46364235,W,OMR,Interior
Contra Costa PP Number 01,7/12/1995,146,1.2,65.49822638,W,OMR,Interior
Old River North of Rock Slough (St 4b),7/8/1993,148,1.2,75.05380959,AN,OMR,Interior
Rock Slough @ Old River,7/8/1993,156,1.2,75.05380959,AN,OMR,Interior
Old River South of Rock Slough (St 5A),7/29/1980,159,1.2,75.15820048,AN,OMR,Interior
Contra Costa PP Number 01,7/5/2006,162,1.2,67.43685291,W,OMR,Interior
Old River South of Rock Slough (St 5A),8/6/1980,170,1.2,76.44358914,AN,OMR,Interior
Old River South of Rock Slough (St 5A),7/21/1980,174,1.2,71.80905674,AN,OMR,Interior
Contra Costa PP Number 01,8/12/1993,185,1.2,71.58781984,AN,OMR,Interior
Contra Costa PP Number 01,9/6/1995,187,1.2,67.21706163,W,OMR,Interior
Contra Costa PP Number 01,11/8/1995,200,1.2,81.20170079,C,OMR,Interior
Old River South of Rock Slough (St 5A),4/18/1983,211,1.2,51.81872331,W,OMR,Interior
Contra Costa PP Number 01,5/4/2004,233,1.2,76.25300399,BN,OMR,Interior
Contra Costa PP Number 01,7/8/1993,159,1.3,75.05380959,AN,OMR,Interior
Rock Slough at Delta Road Bridge,7/5/2011,169,1.3,56.36389323,W,OMR,Interior
Old River South of Rock Slough (St 5A),5/25/1983,170,1.3,53.44081668,W,OMR,Interior
Old River South of Rock Slough (St 5A),7/14/1980,172,1.3,71.65830083,AN,OMR,Interior
Contra Costa PP Number 01,7/11/1996,175,1.3,75.57077698,W,OMR,Interior
Middle River at Bacon Island Bridge,9/1/1993,175,1.3,78.41118016,AN,OMR,Interior
Rock Slough @ Old River,6/27/1984,189,1.3,78.52956136,W,OMR,Interior
Middle River @ Union Point - P10A,9/7/2017,193,1.3,77.48586469,W,OMR,Interior
Old River South of Rock Slough (St 5A),8/18/1980,204,1.3,80.02274745,AN,OMR,Interior
Contra Costa PP Number 01,9/1/1993,205,1.3,78.41118016,AN,OMR,Interior
Clifton Court Intake,7/25/1984,212,1.3,75.0760343,W,OMR,Interior
Contra Costa PP Number 01,4/6/2004,238,1.3,69.18983307,BN,OMR,Interior
Middle River @ Union Point - P10A,9/6/2006,240,1.3,78.70958184,W,OMR,Interior
Middle River at Bacon Island Bridge,7/20/1993,161,1.4,75.81769133,AN,OMR,Interior
Clifton Court Intake,7/20/1993,166,1.4,75.81769133,AN,OMR,Interior
Middle River @ Union Point - P10A,6/5/2017,177,1.4,57.96351261,W,OMR,Interior
Middle River @ Union Point - P10A,7/10/2017,177,1.4,70.04911852,W,OMR,Interior
Middle River @ Union Point - P10A,7/5/2011,184,1.4,56.36389323,W,OMR,Interior
