Long Station Name,Collection Date,EC,Mg,Sacramento X2,WYT,Location,Area
Contra Costa PP Number 01,12/7/1999,1390,40,84.3486242,W,OMR,Interior
Contra Costa PP Number 01,11/9/1994,988,39,92.63852791,AN,OMR,Interior
Old River near Rock Slough,7/21/1959,1740,36,95.92495125,BN,OMR,Interior
Contra Costa PP Number 01,3/7/2000,1125,36,48.16682697,AN,OMR,Interior
Old River near Rock Slough,8/4/1959,1580,34,91.1135463,BN,OMR,Interior
Contra Costa PP Number 01,2/3/2003,1070,34,54.06515388,AN,OMR,Interior
Contra Costa PP Number 01,12/4/2007,1212,33,87.28423839,D,OMR,Interior
Contra Costa PP Number 01,3/3/1998,1100,32.8,46.174655,W,OMR,Interior
Old River near Rock Slough,8/4/1959,1380,31,91.1135463,BN,OMR,Interior
Contra Costa PP Number 01,11/6/2007,1048,29,89.58054651,W,OMR,Interior
Contra Costa PP Number 01,3/7/1996,898,29,46.46251523,W,OMR,Interior
Contra Costa PP Number 01,12/10/1997,1080,28.4,71.95083355,W,OMR,Interior
Contra Costa PP Number 01,10/8/2002,1120,28,89.3846487,D,OMR,Interior
Old River South of Rock Slough (St 5A),12/3/1987,1000,28,94.23731184,D,OMR,Interior
Old River near Rock Slough,7/21/1959,1320,27,95.92495125,BN,OMR,Interior
Old River North of Rock Slough (St 4b),2/14/1991,1090,27,93.77396204,C,OMR,Interior
Rock Slough @ Old River,2/25/1991,1080,27,94.18554964,C,OMR,Interior
Old River North of Rock Slough (St 4b),2/25/1991,1080,27,94.18554964,C,OMR,Interior
Contra Costa PP Number 01,3/11/1993,801,27,59.02850507,AN,OMR,Interior
Contra Costa PP Number 01,1/4/2000,1186,26,80.55744457,AN,OMR,Interior
Rock Slough @ Old River,2/14/1991,1070,26,93.77396204,C,OMR,Interior
Old River South of Rock Slough (St 5A),3/1/1991,1050,26,95.64094598,C,OMR,Interior
Contra Costa PP Number 01,1/7/2003,1010,26,51.99960319,AN,OMR,Interior
Contra Costa PP Number 01,2/5/1998,879,25.6,41.15155574,W,OMR,Interior
Contra Costa PP Number 01,1/6/1998,920,25.4,80.42409534,W,OMR,Interior
Rock Slough @ Old River,12/12/1990,1100,25,93.02603777,C,OMR,Interior
Contra Costa PP Number 01,3/6/2001,753,25,70.05240742,D,OMR,Interior
Old River North of Rock Slough (St 4b),12/12/1990,1060,24,93.02603777,C,OMR,Interior
Contra Costa PP Number 01,1/8/2001,1030,24,94.68792213,D,OMR,Interior
Contra Costa PP Number 01,12/9/1991,988,24,94.2937316,C,OMR,Interior
Rock Slough @ Old River,9/22/1994,988,24,90.04354307,C,OMR,Interior
Contra Costa PP Number 01,2/6/2001,943,24,82.30525912,D,OMR,Interior
Contra Costa PP Number 01,10/7/1992,900,24,92.45317986,C,OMR,Interior
Clifton Court Intake,12/10/1992,875,24,95.44056579,C,OMR,Interior
Rock Slough @ Old River,12/19/1991,967,23,95.49778406,C,OMR,Interior
Old River North of Rock Slough (St 4b),12/19/1991,950,23,95.49778406,C,OMR,Interior
Rock Slough @ Old River,6/11/1992,947,23,90.14218042,C,OMR,Interior
Contra Costa PP Number 01,9/20/1994,935,23,92.37559029,C,OMR,Interior
Old River North of Rock Slough (St 4b),6/11/1992,934,23,90.14218042,C,OMR,Interior
Rock Slough @ Old River,9/3/1992,933,23,90.77667797,C,OMR,Interior
Old River North of Rock Slough (St 4b),9/3/1992,930,23,90.77667797,C,OMR,Interior
Contra Costa PP Number 01,8/19/1992,904,23,92.0935494,C,OMR,Interior
Contra Costa PP Number 01,2/24/1992,793,23,66.71267132,C,OMR,Interior
Clifton Court Intake,4/24/1991,792,23,86.48122671,C,OMR,Interior
Contra Costa PP Number 01,3/7/2005,654,23,57.47547175,AN,OMR,Interior
Old River South of Rock Slough (St 5A),11/18/1985,992,22,93.20373275,W,OMR,Interior
Rock Slough @ Old River,10/24/1990,960,22,94.04183083,D,OMR,Interior
Old River North of Rock Slough (St 4b),11/28/1990,959,22,92.60675328,D,OMR,Interior
Rock Slough @ Old River,11/28/1990,949,22,92.60675328,D,OMR,Interior
Contra Costa PP Number 01,11/17/1992,943,22,94.87189975,C,OMR,Interior
Contra Costa PP Number 01,12/8/1992,933,22,96.70881536,C,OMR,Interior
Old River North of Rock Slough (St 4b),10/24/1990,921,22,94.04183083,D,OMR,Interior
Old River North of Rock Slough (St 4b),8/19/1992,915,22,92.0935494,C,OMR,Interior
Old River North of Rock Slough (St 4b),7/22/1992,909,22,92.3938467,C,OMR,Interior
Contra Costa PP Number 01,7/22/1992,905,22,92.3938467,C,OMR,Interior
Rock Slough @ Old River,8/19/1992,901,22,92.0935494,C,OMR,Interior
Rock Slough @ Old River,7/22/1992,899,22,92.3938467,C,OMR,Interior
Contra Costa PP Number 01,11/6/2001,898,22,92.77803114,AN,OMR,Interior
Contra Costa PP Number 01,10/7/1999,892,22,85.55971154,W,OMR,Interior
Contra Costa PP Number 01,6/23/1992,885,22,92.2794422,C,OMR,Interior
Contra Costa PP Number 01,9/22/1992,882,22,92.38888101,C,OMR,Interior
Old River South of Rock Slough (St 5A),2/1/1991,881,22,94.15033685,C,OMR,Interior
Rock Slough @ Old River,3/12/1991,859,22,78.72735886,C,OMR,Interior
Rock Slough @ Old River,10/7/1992,849,22,92.45317986,C,OMR,Interior
Clifton Court Intake,2/27/1991,840,22,95.15255136,C,OMR,Interior
Old River North of Rock Slough (St 4b),10/7/1992,835,22,92.45317986,C,OMR,Interior
Contra Costa PP Number 01,2/3/2009,794,22,84.30493265,D,OMR,Interior
Contra Costa PP Number 01,1/17/1995,709,22,46.35508675,W,OMR,Interior
Contra Costa PP Number 01,11/5/1997,948,21.8,91.80829068,W,OMR,Interior
Old River near Rock Slough,8/18/1959,937,21,93.54824528,BN,OMR,Interior
Rock Slough @ Old River,1/2/1991,907,21,93.51732212,C,OMR,Interior
Old River North of Rock Slough (St 4b),4/25/1990,905,21,87.22990049,C,OMR,Interior
Old River North of Rock Slough (St 4b),1/29/1991,878,21,94.90599798,C,OMR,Interior
Contra Costa PP Number 01,10/1/2008,870,21,88.30977329,D,OMR,Interior
Contra Costa PP Number 01,12/3/2002,850,21,93.0185482,D,OMR,Interior
Contra Costa PP Number 01,11/19/1991,836,21,93.6335894,C,OMR,Interior
Contra Costa PP Number 01,12/13/1994,814,21,82.54298007,C,OMR,Interior
Rock Slough @ Old River,10/20/1992,811,21,94.16017229,C,OMR,Interior
Old River North of Rock Slough (St 4b),3/12/1991,779,21,78.72735886,C,OMR,Interior
Clifton Court Intake,3/9/1993,730,21,59.04059358,AN,OMR,Interior
Contra Costa PP Number 01,10/2/2007,928,20,87.02852586,W,OMR,Interior
