Long Station Name,Collection Date,EC,Na,Sacramento X2,WYT,Location,Area
Old River near Rock Slough,7/21/1959,1740,250,95.92495125,BN,OMR,Interior
Old River South of Rock Slough (St 5A),12/20/1977,1640,235,89.23499497,C,OMR,Interior
Old River South of Rock Slough (St 5A),11/8/1977,1500,223,93.6482057,C,OMR,Interior
Old River near Rock Slough,8/4/1959,1580,220,91.1135463,BN,OMR,Interior
Old River South of Rock Slough (St 5A),11/1/1977,1530,220,97.79821424,C,OMR,Interior
Old River South of Rock Slough (St 5A),9/27/1977,1490,220,93.68297047,C,OMR,Interior
Old River South of Rock Slough (St 5A),10/4/1977,1490,220,95.16189775,C,OMR,Interior
Old River South of Rock Slough (St 5A),9/20/1977,1510,216,94.30759826,C,OMR,Interior
Old River South of Rock Slough (St 5A),9/13/1977,1620,215,97.75189249,C,OMR,Interior
Old River South of Rock Slough (St 5A),8/30/1977,1460,213,96.31383784,C,OMR,Interior
Old River South of Rock Slough (St 5A),9/6/1977,1460,213,95.3442764,C,OMR,Interior
Old River South of Rock Slough (St 5A),12/27/1977,1440,213,86.39928373,C,OMR,Interior
Old River South of Rock Slough (St 5A),11/14/1977,1420,206,97.01418075,C,OMR,Interior
Old River South of Rock Slough (St 5A),10/11/1977,1440,205,0,C,OMR,Interior
Old River South of Rock Slough (St 5A),8/16/1977,1420,203,95.12016685,C,OMR,Interior
Old River South of Rock Slough (St 5A),12/7/1977,1300,200,95.92716794,C,OMR,Interior
Old River near Rock Slough,8/4/1959,1380,196,91.1135463,BN,OMR,Interior
Old River South of Rock Slough (St 5A),8/2/1977,1400,193,95.68394653,C,OMR,Interior
Old River near Rock Slough,7/21/1959,1320,192,95.92495125,BN,OMR,Interior
Old River South of Rock Slough (St 5A),10/18/1977,1390,190,0,C,OMR,Interior
Old River South of Rock Slough (St 5A),10/25/1977,1370,190,98.51353899,C,OMR,Interior
Contra Costa PP Number 01,12/7/1999,1390,188,84.3486242,W,OMR,Interior
Old River South of Rock Slough (St 5A),8/23/1977,1300,188,95.4484552,C,OMR,Interior
Old River South of Rock Slough (St 5A),11/21/1977,1320,186,93.6810691,C,OMR,Interior
Old River South of Rock Slough (St 5A),8/9/1977,1350,185,94.66206153,C,OMR,Interior
Rock Slough @ Old River,2/7/1989,1250,172,91.45347248,D,OMR,Interior
Contra Costa PP Number 01,12/4/2007,1212,157,87.28423839,D,OMR,Interior
Rock Slough @ Old River,12/8/1987,1140,154,91.62950094,D,OMR,Interior
Rock Slough @ Old River,11/1/1988,1080,152,93.73518208,D,OMR,Interior
Old River North of Rock Slough (St 4b),2/14/1991,1090,151,93.77396204,C,OMR,Interior
Rock Slough @ Old River,12/12/1990,1100,150,93.02603777,C,OMR,Interior
Old River South of Rock Slough (St 5A),12/3/1987,1000,148,94.23731184,D,OMR,Interior
Contra Costa PP Number 01,12/10/1997,1080,146,71.95083355,W,OMR,Interior
Old River North of Rock Slough (St 4b),2/25/1991,1080,145,94.18554964,C,OMR,Interior
Rock Slough @ Old River,2/14/1991,1070,144,93.77396204,C,OMR,Interior
Old River South of Rock Slough (St 5A),3/1/1991,1050,144,95.64094598,C,OMR,Interior
Contra Costa PP Number 01,11/6/2007,1048,144,89.58054651,W,OMR,Interior
Old River South of Rock Slough (St 5A),1/3/1978,1030,144,83.7303191,AN,OMR,Interior
Rock Slough @ Old River,2/25/1991,1080,142,94.18554964,C,OMR,Interior
Contra Costa PP Number 01,1/4/2000,1186,141,80.55744457,AN,OMR,Interior
Contra Costa PP Number 01,10/8/2002,1120,141,89.3846487,D,OMR,Interior
Contra Costa PP Number 01,9/20/1994,935,141,92.37559029,C,OMR,Interior
Rock Slough @ Old River,9/22/1994,988,138,90.04354307,C,OMR,Interior
Old River North of Rock Slough (St 4b),12/12/1990,1060,136,93.02603777,C,OMR,Interior
Old River South of Rock Slough (St 5A),11/18/1985,992,136,93.20373275,W,OMR,Interior
Rock Slough @ Old River,11/15/1985,988,135,93.05986008,W,OMR,Interior
Contra Costa PP Number 01,12/9/1991,988,134,94.2937316,C,OMR,Interior
Contra Costa PP Number 01,3/3/1998,1100,133,46.174655,W,OMR,Interior
Rock Slough @ Old River,12/3/1985,965,133,86.18528925,D,OMR,Interior
Contra Costa PP Number 01,3/7/2000,1125,132,48.16682697,AN,OMR,Interior
Old River near Rock Slough,8/18/1959,1000,132,93.54824528,BN,OMR,Interior
Rock Slough @ Old River,9/6/1988,950,132,89.33894643,C,OMR,Interior
Old River North of Rock Slough (St 4b),11/28/1990,959,131,92.60675328,D,OMR,Interior
Rock Slough @ Old River,10/24/1990,960,130,94.04183083,D,OMR,Interior
Contra Costa PP Number 01,2/3/2003,1070,129,54.06515388,AN,OMR,Interior
Rock Slough @ Old River,12/19/1991,967,129,95.49778406,C,OMR,Interior
Rock Slough @ Old River,12/13/1988,950,129,93.59676781,C,OMR,Interior
Rock Slough @ Old River,9/3/1992,933,129,90.77667797,C,OMR,Interior
Old River North of Rock Slough (St 4b),9/3/1992,930,129,90.77667797,C,OMR,Interior
Contra Costa PP Number 01,1/8/2001,1030,128,94.68792213,D,OMR,Interior
Contra Costa PP Number 01,11/5/1997,948,128,91.80829068,W,OMR,Interior
Old River South of Rock Slough (St 5A),3/3/1989,807,128,93.76129389,D,OMR,Interior
Old River North of Rock Slough (St 4b),12/19/1991,950,127,95.49778406,C,OMR,Interior
Rock Slough @ Old River,11/28/1990,949,127,92.60675328,D,OMR,Interior
Rock Slough @ Old River,6/11/1992,947,127,90.14218042,C,OMR,Interior
Old River near Rock Slough,8/18/1959,937,127,93.54824528,BN,OMR,Interior
Contra Costa PP Number 01,12/8/1992,933,126,96.70881536,C,OMR,Interior
Rock Slough @ Old River,10/4/1988,925,126,93.17402995,D,OMR,Interior
Old River North of Rock Slough (St 4b),6/11/1992,934,125,90.14218042,C,OMR,Interior
Rock Slough @ Old River,9/9/1987,923,125,89.37303316,D,OMR,Interior
Old River North of Rock Slough (St 4b),10/24/1990,921,125,94.04183083,D,OMR,Interior
Old River North of Rock Slough (St 4b),4/25/1990,905,125,87.22990049,C,OMR,Interior
Contra Costa PP Number 01,10/7/1992,900,125,92.45317986,C,OMR,Interior
Contra Costa PP Number 01,1/7/2003,1010,124,51.99960319,AN,OMR,Interior
Old River North of Rock Slough (St 4b),7/22/1992,909,124,92.3938467,C,OMR,Interior
Old River North of Rock Slough (St 4b),8/19/1992,915,123,92.0935494,C,OMR,Interior
Contra Costa PP Number 01,1/6/1998,920,121,80.42409534,W,OMR,Interior
Contra Costa PP Number 01,7/22/1992,905,121,92.3938467,C,OMR,Interior
Rock Slough @ Old River,8/19/1992,901,121,92.0935494,C,OMR,Interior
Rock Slough @ Old River,7/22/1992,899,121,92.3938467,C,OMR,Interior
Rock Slough @ Old River,10/22/1987,871,121,91.14974166,W,OMR,Interior
Rock Slough @ Old River,1/2/1991,907,120,93.51732212,C,OMR,Interior
Contra Costa PP Number 01,8/19/1992,904,120,92.0935494,C,OMR,Interior
Rock Slough @ Old River,1/29/1991,897,120,94.90599798,C,OMR,Interior
Old River South of Rock Slough (St 5A),9/12/1979,882,120,86.66490009,BN,OMR,Interior
Rock Slough @ Old River,8/6/1992,878,120,92.5804813,C,OMR,Interior
Rock Slough @ Old River,4/25/1990,864,120,87.22990049,C,OMR,Interior
Rock Slough @ Old River,8/9/1988,852,120,85.21737303,C,OMR,Interior
Contra Costa PP Number 01,9/22/1992,882,119,92.38888101,C,OMR,Interior
Contra Costa PP Number 01,10/2/2007,928,118,87.02852586,W,OMR,Interior
Old River South of Rock Slough (St 5A),2/1/1991,881,118,94.15033685,C,OMR,Interior
Rock Slough @ Old River,3/12/1991,859,117,78.72735886,C,OMR,Interior
Rock Slough @ Old River,10/7/1992,849,117,92.45317986,C,OMR,Interior
Old River North of Rock Slough (St 4b),10/7/1992,835,117,92.45317986,C,OMR,Interior
Contra Costa PP Number 01,2/6/2001,943,116,82.30525912,D,OMR,Interior
Contra Costa PP Number 01,11/6/2001,898,116,92.77803114,AN,OMR,Interior
Old River South of Rock Slough (St 5A),1/4/1991,860,116,93.20280671,C,OMR,Interior
Old River North of Rock Slough (St 4b),1/29/1991,878,115,94.90599798,C,OMR,Interior
Old River North of Rock Slough (St 4b),10/11/1990,836,115,94.23950241,D,OMR,Interior
Contra Costa PP Number 01,9/5/2007,812,115,85.25541551,D,OMR,Interior
Rock Slough @ Old River,1/16/1991,862,114,92.74078739,C,OMR,Interior
Old River North of Rock Slough (St 4b),1/16/1991,861,114,92.74078739,C,OMR,Interior
Rock Slough @ Old River,10/11/1990,816,114,94.23950241,D,OMR,Interior
Contra Costa PP Number 01,11/17/1992,943,113,94.87189975,C,OMR,Interior
Contra Costa PP Number 01,10/1/2008,870,113,88.30977329,D,OMR,Interior
Old River North of Rock Slough (St 4b),10/17/1990,863,113,93.81403956,D,OMR,Interior
Old River North of Rock Slough (St 4b),11/14/1990,859,113,93.90716742,D,OMR,Interior
Rock Slough @ Old River,3/7/1989,852,113,84.84379302,D,OMR,Interior
Contra Costa PP Number 01,10/7/1999,892,112,85.55971154,W,OMR,Interior
Contra Costa PP Number 01,6/23/1992,885,112,92.2794422,C,OMR,Interior
Old River North of Rock Slough (St 4b),8/6/1992,840,112,92.5804813,C,OMR,Interior
Contra Costa PP Number 01,11/19/1991,836,112,93.6335894,C,OMR,Interior
Rock Slough @ Old River,11/14/1990,848,111,93.90716742,D,OMR,Interior
Old River North of Rock Slough (St 4b),10/31/1990,832,111,92.89347904,D,OMR,Interior
Rock Slough @ Old River,10/17/1990,847,110,93.81403956,D,OMR,Interior
Rock Slough @ Old River,10/31/1990,828,110,92.89347904,D,OMR,Interior
Contra Costa PP Number 01,11/5/2002,874,109,91.73476989,D,OMR,Interior
Rock Slough @ Old River,12/5/1989,810,109,82.38805208,D,OMR,Interior
Rock Slough @ Old River,8/25/1994,805,109,90.48799198,C,OMR,Interior
Clifton Court Intake,12/8/1987,847,108,91.62950094,D,OMR,Interior
Rock Slough @ Old River,7/9/1992,812,108,91.63677332,C,OMR,Interior
Rock Slough @ Old River,10/20/1992,811,108,94.16017229,C,OMR,Interior
Old River North of Rock Slough (St 4b),1/24/1990,804,108,79.66720736,C,OMR,Interior
Rock Slough @ Old River,7/12/1988,787,108,93.34172739,C,OMR,Interior
Old River North of Rock Slough (St 4b),1/2/1991,880,107,93.51732212,C,OMR,Interior
Contra Costa PP Number 01,2/5/1998,879,107,41.15155574,W,OMR,Interior
Contra Costa PP Number 01,9/4/2002,854,106,88.12309273,D,OMR,Interior
