Long Station Name,Collection Date,EC,SO4,Sacramento X2,WYT,Location,Area
Contra Costa PP Number 01,12/7/1999,1390,195,84.3486242,W,OMR,Interior
Contra Costa PP Number 01,3/7/2000,1125,195,48.16682697,AN,OMR,Interior
Contra Costa PP Number 01,3/3/1998,1100,172,46.174655,W,OMR,Interior
Contra Costa PP Number 01,2/3/2003,1070,163,54.06515388,AN,OMR,Interior
Contra Costa PP Number 01,12/4/2007,1212,136,87.28423839,D,OMR,Interior
Contra Costa PP Number 01,3/7/1996,898,125,46.46251523,W,OMR,Interior
Contra Costa PP Number 01,3/11/1993,801,123,59.02850507,AN,OMR,Interior
Contra Costa PP Number 01,2/5/1998,879,113,41.15155574,W,OMR,Interior
Clifton Court Intake,3/9/1993,730,112,59.04059358,AN,OMR,Interior
Contra Costa PP Number 01,1/7/2003,1010,107,51.99960319,AN,OMR,Interior
Clifton Court Intake,4/24/1991,792,102,86.48122671,C,OMR,Interior
Contra Costa PP Number 01,3/6/2001,753,99,70.05240742,D,OMR,Interior
Contra Costa PP Number 01,3/7/2005,654,98,57.47547175,AN,OMR,Interior
Contra Costa PP Number 01,10/7/1999,892,90,85.55971154,W,OMR,Interior
Contra Costa PP Number 01,4/10/1995,635,89,50.51772825,W,OMR,Interior
Clifton Court Intake,12/10/1992,875,88,95.44056579,C,OMR,Interior
Contra Costa PP Number 01,3/3/2003,591,88,60.574921,AN,OMR,Interior
Contra Costa PP Number 01,4/1/2003,663,86,69.81194277,AN,OMR,Interior
Contra Costa PP Number 01,1/4/2000,1186,84,80.55744457,AN,OMR,Interior
Contra Costa PP Number 01,11/6/2007,1048,84,89.58054651,W,OMR,Interior
Clifton Court Intake,7/25/1990,457,82,87.85147172,C,OMR,Interior
Contra Costa PP Number 01,2/6/2001,943,76,82.30525912,D,OMR,Interior
Contra Costa PP Number 01,4/4/1996,554,76,58.29157662,W,OMR,Interior
Contra Costa PP Number 01,10/8/2002,1120,74,89.3846487,D,OMR,Interior
Contra Costa PP Number 01,1/8/2001,1030,74,94.68792213,D,OMR,Interior
Clifton Court Intake,6/27/1990,786,74,84.4854239,C,OMR,Interior
Clifton Court Intake,5/19/1994,599,74,76.51544974,C,OMR,Interior
Contra Costa PP Number 01,12/3/2002,850,72,93.0185482,D,OMR,Interior
Contra Costa PP Number 01,2/6/1995,533,71,48.45038827,W,OMR,Interior
Contra Costa PP Number 01,5/2/1996,516,68,66.95278638,W,OMR,Interior
Old River near Rock Slough,8/4/1959,1580,67,91.1135463,BN,OMR,Interior
Contra Costa PP Number 01,2/24/1992,793,67,66.71267132,C,OMR,Interior
Contra Costa PP Number 01,3/2/2004,500,67,49.65011755,BN,OMR,Interior
Contra Costa PP Number 01,1/8/2002,616,66,54.28372948,D,OMR,Interior
Contra Costa PP Number 01,1/17/1995,709,65,46.35508675,W,OMR,Interior
Contra Costa PP Number 01,1/13/1993,633,64,64.09402935,AN,OMR,Interior
Middle River at Bacon Island Bridge,3/24/1994,516,62,72.52425966,C,OMR,Interior
Contra Costa PP Number 01,4/4/2005,499,62,55.79737907,AN,OMR,Interior
Old River near Rock Slough,7/21/1959,1740,61,95.92495125,BN,OMR,Interior
Middle River at Bacon Island Bridge,3/9/1993,471,61,59.04059358,AN,OMR,Interior
Clifton Court Intake,5/13/1993,456,61,61.911538,AN,OMR,Interior
