Long Station Name,Collection Date,EC,TDS,Sacramento X2,WYT,Location,Area
Old River South of Rock Slough (St 5A),7/20/1977,1690,900,95.79344749,C,OMR,Interior
Old River South of Rock Slough (St 5A),12/20/1977,1640,896,89.23499497,C,OMR,Interior
Old River South of Rock Slough (St 5A),6/30/1972,1570,893,92.10107177,BN,OMR,Interior
Old River South of Rock Slough (St 5A),6/29/1972,1480,886,93.04418194,BN,OMR,Interior
Old River South of Rock Slough (St 5A),9/13/1977,1620,869,97.75189249,C,OMR,Interior
Old River South of Rock Slough (St 5A),7/6/1972,1510,865,86.35065233,BN,OMR,Interior
Old River South of Rock Slough (St 5A),11/1/1977,1530,836,97.79821424,C,OMR,Interior
Old River South of Rock Slough (St 5A),7/12/1977,1540,828,94.29014398,C,OMR,Interior
Old River South of Rock Slough (St 5A),9/20/1977,1510,827,94.30759826,C,OMR,Interior
Old River South of Rock Slough (St 5A),9/27/1977,1490,821,93.68297047,C,OMR,Interior
Old River South of Rock Slough (St 5A),10/4/1977,1490,813,95.16189775,C,OMR,Interior
Old River South of Rock Slough (St 5A),8/16/1977,1420,812,95.12016685,C,OMR,Interior
Old River South of Rock Slough (St 5A),8/30/1977,1460,811,96.31383784,C,OMR,Interior
Old River South of Rock Slough (St 5A),9/6/1977,1460,805,95.3442764,C,OMR,Interior
Old River South of Rock Slough (St 5A),11/8/1977,1500,800,93.6482057,C,OMR,Interior
Old River South of Rock Slough (St 5A),10/11/1977,1440,799,0,C,OMR,Interior
Contra Costa PP Number 01,12/7/1999,1390,797,84.3486242,W,OMR,Interior
Old River South of Rock Slough (St 5A),7/26/1977,1490,796,94.6464473,C,OMR,Interior
Old River South of Rock Slough (St 5A),6/28/1972,1400,784,93.50734356,BN,OMR,Interior
Old River South of Rock Slough (St 5A),8/2/1977,1400,780,95.68394653,C,OMR,Interior
Old River South of Rock Slough (St 5A),10/18/1977,1390,773,0,C,OMR,Interior
Old River South of Rock Slough (St 5A),12/27/1977,1440,768,86.39928373,C,OMR,Interior
Old River South of Rock Slough (St 5A),11/14/1977,1420,766,97.01418075,C,OMR,Interior
Old River South of Rock Slough (St 5A),8/9/1977,1350,760,94.66206153,C,OMR,Interior
Old River South of Rock Slough (St 5A),10/25/1977,1370,758,98.51353899,C,OMR,Interior
Old River South of Rock Slough (St 5A),6/23/1977,1390,751,95.42512283,C,OMR,Interior
Old River South of Rock Slough (St 5A),7/6/1972,1340,746,86.35065233,BN,OMR,Interior
Old River South of Rock Slough (St 5A),3/29/1977,1300,737,92.15314133,C,OMR,Interior
Old River South of Rock Slough (St 5A),12/7/1977,1300,724,95.92716794,C,OMR,Interior
Old River South of Rock Slough (St 5A),8/23/1977,1300,717,95.4484552,C,OMR,Interior
Old River South of Rock Slough (St 5A),4/8/1977,1260,699,95.5432589,C,OMR,Interior
Old River South of Rock Slough (St 5A),11/21/1977,1320,694,93.6810691,C,OMR,Interior
Old River South of Rock Slough (St 5A),4/20/1977,1250,680,94.53718803,C,OMR,Interior
Contra Costa PP Number 01,3/7/2000,1125,678,48.16682697,AN,OMR,Interior
Contra Costa PP Number 01,10/8/2002,1120,676,89.3846487,D,OMR,Interior
Contra Costa PP Number 01,2/3/2003,1070,676,54.06515388,AN,OMR,Interior
Contra Costa PP Number 01,12/4/2007,1212,674,87.28423839,D,OMR,Interior
Old River South of Rock Slough (St 5A),3/2/1977,1180,659,90.26821064,C,OMR,Interior
Contra Costa PP Number 01,3/3/1998,1100,658,46.174655,W,OMR,Interior
Old River South of Rock Slough (St 5A),6/24/1972,970,652,93.34177705,BN,OMR,Interior
Old River South of Rock Slough (St 5A),2/7/1977,1160,646,94.06067372,C,OMR,Interior
Old River South of Rock Slough (St 5A),7/11/1972,1120,641,86.44946351,BN,OMR,Interior
Old River South of Rock Slough (St 5A),7/11/1972,1120,632,86.44946351,BN,OMR,Interior
Old River South of Rock Slough (St 5A),5/5/1977,1150,618,94.55252563,C,OMR,Interior
Contra Costa PP Number 01,1/7/2003,1010,609,51.99960319,AN,OMR,Interior
Contra Costa PP Number 01,12/10/1997,1080,606,71.95083355,W,OMR,Interior
Contra Costa PP Number 01,1/4/2000,1186,602,80.55744457,AN,OMR,Interior
Old River South of Rock Slough (St 5A),3/15/1977,1080,591,93.69341681,C,OMR,Interior
Old River South of Rock Slough (St 5A),6/9/1977,1050,586,97.08249253,C,OMR,Interior
Contra Costa PP Number 01,11/6/2007,1048,582,89.58054651,W,OMR,Interior
Contra Costa PP Number 01,1/8/2001,1030,571,94.68792213,D,OMR,Interior
Old River South of Rock Slough (St 5A),3/1/1991,1050,568,95.64094598,C,OMR,Interior
Old River South of Rock Slough (St 5A),1/3/1978,1030,561,83.7303191,AN,OMR,Interior
Old River South of Rock Slough (St 5A),6/29/1972,1010,561,93.04418194,BN,OMR,Interior
Rock Slough @ Old River,9/22/1994,988,544,90.04354307,C,OMR,Interior
Old River South of Rock Slough (St 5A),11/18/1985,992,543,93.20373275,W,OMR,Interior
Old River South of Rock Slough (St 5A),5/18/1977,991,542,92.05772441,C,OMR,Interior
Old River South of Rock Slough (St 5A),12/3/1987,1000,535,94.23731184,D,OMR,Interior
Rock Slough @ Old River,1/24/1990,962,533,79.66720736,C,OMR,Interior
Contra Costa PP Number 01,12/9/1991,988,529,94.2937316,C,OMR,Interior
Old River South of Rock Slough (St 5A),1/6/1977,988,529,92.67386711,C,OMR,Interior
Contra Costa PP Number 01,11/5/2002,874,526,91.73476989,D,OMR,Interior
Contra Costa PP Number 01,3/7/1996,898,524,46.46251523,W,OMR,Interior
Old River South of Rock Slough (St 5A),6/28/1972,904,522,93.50734356,BN,OMR,Interior
Contra Costa PP Number 01,10/2/2007,928,521,87.02852586,W,OMR,Interior
Contra Costa PP Number 01,11/9/1994,988,520,92.63852791,AN,OMR,Interior
Contra Costa PP Number 01,12/3/2002,850,520,93.0185482,D,OMR,Interior
Contra Costa PP Number 01,9/4/2002,854,511,88.12309273,D,OMR,Interior
Contra Costa PP Number 01,11/5/1997,948,508,91.80829068,W,OMR,Interior
Contra Costa PP Number 01,2/5/1998,879,507,41.15155574,W,OMR,Interior
Contra Costa PP Number 01,1/6/1998,920,505,80.42409534,W,OMR,Interior
Contra Costa PP Number 01,9/20/1994,935,503,92.37559029,C,OMR,Interior
Contra Costa PP Number 01,11/17/1992,943,499,94.87189975,C,OMR,Interior
Contra Costa PP Number 01,12/8/1992,933,498,96.70881536,C,OMR,Interior
Rock Slough @ Old River,10/24/1990,960,497,94.04183083,D,OMR,Interior
Clifton Court Intake,12/10/1992,875,496,95.44056579,C,OMR,Interior
Old River North of Rock Slough (St 4b),1/29/1991,878,495,94.90599798,C,OMR,Interior
Contra Costa PP Number 01,2/6/2001,943,494,82.30525912,D,OMR,Interior
Old River South of Rock Slough (St 5A),12/15/1976,902,490,94.22153803,C,OMR,Interior
Rock Slough @ Old River,1/29/1991,897,488,94.90599798,C,OMR,Interior
Old River North of Rock Slough (St 4b),10/24/1990,921,486,94.04183083,D,OMR,Interior
Old River North of Rock Slough (St 4b),8/19/1992,915,481,92.0935494,C,OMR,Interior
Old River North of Rock Slough (St 4b),7/22/1992,909,481,92.3938467,C,OMR,Interior
Contra Costa PP Number 01,10/7/1999,892,481,85.55971154,W,OMR,Interior
Contra Costa PP Number 01,10/1/2008,870,481,88.30977329,D,OMR,Interior
Old River South of Rock Slough (St 5A),9/12/1979,882,480,86.66490009,BN,OMR,Interior
Contra Costa PP Number 01,3/11/1993,801,480,59.02850507,AN,OMR,Interior
Old River South of Rock Slough (St 5A),2/1/1991,881,479,94.15033685,C,OMR,Interior
Old River South of Rock Slough (St 5A),6/24/1972,818,478,93.34177705,BN,OMR,Interior
Old River North of Rock Slough (St 4b),4/25/1990,905,476,87.22990049,C,OMR,Interior
Rock Slough @ Old River,8/19/1992,901,473,92.0935494,C,OMR,Interior
Contra Costa PP Number 01,11/6/2001,898,473,92.77803114,AN,OMR,Interior
Contra Costa PP Number 01,7/22/1992,905,471,92.3938467,C,OMR,Interior
Contra Costa PP Number 01,6/23/1992,885,469,92.2794422,C,OMR,Interior
Old River South of Rock Slough (St 5A),1/4/1991,860,469,93.20280671,C,OMR,Interior
Contra Costa PP Number 01,10/7/1992,900,468,92.45317986,C,OMR,Interior
Clifton Court Intake,2/27/1991,840,467,95.15255136,C,OMR,Interior
Rock Slough @ Old River,4/25/1990,864,466,87.22990049,C,OMR,Interior
Contra Costa PP Number 01,2/3/2009,794,465,84.30493265,D,OMR,Interior
Contra Costa PP Number 01,8/19/1992,904,464,92.0935494,C,OMR,Interior
Rock Slough @ Old River,7/22/1992,899,464,92.3938467,C,OMR,Interior
Contra Costa PP Number 01,9/22/1992,882,463,92.38888101,C,OMR,Interior
Clifton Court Intake,4/24/1991,792,461,86.48122671,C,OMR,Interior
Old River South of Rock Slough (St 5A),6/27/1972,786,454,94.28595728,BN,OMR,Interior
Old River North of Rock Slough (St 4b),1/24/1990,804,453,79.66720736,C,OMR,Interior
Contra Costa PP Number 01,9/5/2007,812,452,85.25541551,D,OMR,Interior
Clifton Court Intake,12/11/1990,853,451,93.08539402,C,OMR,Interior
Contra Costa PP Number 01,2/24/1992,793,451,66.71267132,C,OMR,Interior
Old River South of Rock Slough (St 5A),9/2/1981,793,448,89.4339165,D,OMR,Interior
Old River South of Rock Slough (St 5A),6/25/1972,970,446,93.79838621,BN,OMR,Interior
Old River South of Rock Slough (St 5A),3/3/1989,807,444,93.76129389,D,OMR,Interior
Contra Costa PP Number 01,11/19/1991,836,443,93.6335894,C,OMR,Interior
Clifton Court Intake,12/11/1991,810,443,94.35994762,C,OMR,Interior
Clifton Court Intake,6/27/1990,786,442,84.4854239,C,OMR,Interior
Rock Slough @ Old River,10/7/1992,849,441,92.45317986,C,OMR,Interior
Contra Costa PP Number 01,1/6/2004,784,441,55.58733795,BN,OMR,Interior
Rock Slough @ Old River,1/23/1992,792,439,92.69366513,C,OMR,Interior
Clifton Court Intake,3/9/1993,730,438,59.04059358,AN,OMR,Interior
Contra Costa PP Number 01,12/13/1994,814,437,82.54298007,C,OMR,Interior
Old River North of Rock Slough (St 4b),10/7/1992,835,436,92.45317986,C,OMR,Interior
Old River South of Rock Slough (St 5A),1/20/1977,813,436,91.05034635,C,OMR,Interior
Old River South of Rock Slough (St 5A),8/5/1986,723,435,80.38588581,W,OMR,Interior
Middle River @ Union Point - P10A,2/3/2014,774,430,93.92384943,C,OMR,Interior
Contra Costa PP Number 01,11/1/2004,765,430,83.50140273,AN,OMR,Interior
Old River South of Rock Slough (St 5A),9/18/1981,758,427,85.78904211,D,OMR,Interior
Contra Costa PP Number 01,3/6/2001,753,421,70.05240742,D,OMR,Interior
Old River South of Rock Slough (St 5A),6/26/1972,700,415,93.98192603,BN,OMR,Interior
Contra Costa PP Number 01,1/17/1995,709,413,46.35508675,W,OMR,Interior
Contra Costa PP Number 01,9/2/2008,744,411,88.7732302,C,OMR,Interior
Clifton Court Intake,1/31/1991,731,410,94.0793962,C,OMR,Interior
Old River South of Rock Slough (St 5A),2/2/1990,711,410,83.0339583,C,OMR,Interior
